Track,Year,Driver,X,Y,Speed,DRS
Australian Grand Prix,2022,LEC,-7200.0,6875.0,118.2312464,Off
Australian Grand Prix,2022,LEC,-7208.0,6924.0,115.2312464,Off
Australian Grand Prix,2022,LEC,-7210.138957178318,6960.602257581515,113.0,Off
Australian Grand Prix,2022,LEC,-7210.0,6985.0,111.37999616,Off
Australian Grand Prix,2022,LEC,-7208.30403976532,7020.544435924198,109.0,Off
Australian Grand Prix,2022,LEC,-7205.0,7050.0,106.9698460398485,Off
Australian Grand Prix,2022,LEC,-7199.799939117557,7077.626117010758,105.0,Off
Australian Grand Prix,2022,LEC,-7194.0,7100.0,103.76999808,Off
Australian Grand Prix,2022,LEC,-7183.419712028093,7130.983520706005,102.0,Off
Australian Grand Prix,2022,LEC,-7153.0,7189.0,100.27142765714284,Off
Australian Grand Prix,2022,LEC,-7147.069315286124,7197.238367324795,100.0,Off
Australian Grand Prix,2022,LEC,-7122.0,7226.0,100.71000064,Off
Australian Grand Prix,2022,LEC,-7097.0,7248.0,101.31000064,Off
Australian Grand Prix,2022,LEC,-7064.128187502387,7270.018824177437,102.0,Off
Australian Grand Prix,2022,LEC,-7032.0,7286.0,105.0500032,Off
Australian Grand Prix,2022,LEC,-6986.849469192991,7301.30908412576,109.0,Off
Australian Grand Prix,2022,LEC,-6956.0,7309.0,111.5500032,Off
Australian Grand Prix,2022,LEC,-6912.549836209155,7317.656154819265,115.0,Off
Australian Grand Prix,2022,LEC,-6899.0,7320.0,115.96250293333334,Off
Australian Grand Prix,2022,LEC,-6826.0,7331.0,121.0041696,Off
Australian Grand Prix,2022,LEC,-6799.0,7335.0,122.83750293333333,Off
Australian Grand Prix,2022,LEC,-6754.447508395568,7341.172545767241,126.0,Off
Australian Grand Prix,2022,LEC,-6682.697730496239,7349.794073777334,133.0,Off
Australian Grand Prix,2022,LEC,-6663.0,7352.0,135.1000064,Off
Australian Grand Prix,2022,LEC,-6569.0,7362.0,144.1000064,Off
Australian Grand Prix,2022,LEC,-6561.2235188900495,7362.756306657627,145.0,Off
Australian Grand Prix,2022,LEC,-6486.720608955829,7369.174801280173,153.0,Off
Australian Grand Prix,2022,LEC,-6479.0,7370.0,153.12222293333335,Off
Australian Grand Prix,2022,LEC,-6376.0,7384.0,154.45000106666666,Off
Australian Grand Prix,2022,LEC,-6333.773110604964,7392.113292317195,155.0,Off
Australian Grand Prix,2022,LEC,-6261.0,7411.0,151.37999616,Off
Australian Grand Prix,2022,LEC,-6253.577270434,7413.365892880372,151.0,Off
Australian Grand Prix,2022,LEC,-6162.0,7448.0,147.65277866666668,Off
Australian Grand Prix,2022,LEC,-6147.0,7454.0,147.0972231111111,Off
Australian Grand Prix,2022,LEC,-6118.337012400836,7467.533085470581,146.0,Off
Australian Grand Prix,2022,LEC,-6063.0,7502.0,146.40500032,Off
Australian Grand Prix,2022,LEC,-5988.087864648425,7562.615330568632,147.0,Off
Australian Grand Prix,2022,LEC,-5982.0,7568.0,147.2750016,Off
Australian Grand Prix,2022,LEC,-5947.850001619343,7599.523086166262,149.0,Off
Australian Grand Prix,2022,LEC,-5909.0,7655.0,150.57340889944092,Off
